"symbol","date","open"
"DOGE","2016-01-01",0.00015003
"DOGE","2016-01-02",0.00015465
"DOGE","2016-01-03",0.00014864
"DOGE","2016-01-04",0.00014568
"DOGE","2016-01-05",0.00014387
"DOGE","2016-01-06",0.00013709
"DOGE","2016-01-07",0.00013442
"DOGE","2016-01-08",0.00013993
"DOGE","2016-01-09",0.00017349
"DOGE","2016-01-10",0.00017989
"DOGE","2016-01-11",0.00016687
"DOGE","2016-01-12",0.00017100
"DOGE","2016-01-13",0.00017906
"DOGE","2016-01-14",0.00017704
"DOGE","2016-01-15",0.00017582
"DOGE","2016-01-16",0.00014937
"DOGE","2016-01-17",0.00015543
"DOGE","2016-01-18",0.00015157
"DOGE","2016-01-19",0.00015122
"DOGE","2016-01-20",0.00014809
"DOGE","2016-01-21",0.00016828
"DOGE","2016-01-22",0.00016268
"DOGE","2016-01-23",0.00017124
"DOGE","2016-01-24",0.00017295
"DOGE","2016-01-25",0.00019361
"DOGE","2016-01-26",0.00021219
"DOGE","2016-01-27",0.00035741
"DOGE","2016-01-28",0.00045454
"DOGE","2016-01-29",0.00034678
"DOGE","2016-01-30",0.00031701
"DOGE","2016-01-31",0.00025879
"DOGE","2016-02-01",0.00027766
"DOGE","2016-02-02",0.00027130
"DOGE","2016-02-03",0.00026202
"DOGE","2016-02-04",0.00026536
"DOGE","2016-02-05",0.00028494
"DOGE","2016-02-06",0.00030796
"DOGE","2016-02-07",0.00030599
"DOGE","2016-02-08",0.00028503
"DOGE","2016-02-09",0.00028681
"DOGE","2016-02-10",0.00029064
"DOGE","2016-02-11",0.00029684
"DOGE","2016-02-12",0.00029252
"DOGE","2016-02-13",0.00029963
"DOGE","2016-02-14",0.00029534
"DOGE","2016-02-15",0.00030132
"DOGE","2016-02-16",0.00029805
"DOGE","2016-02-17",0.00028987
"DOGE","2016-02-18",0.00027827
"DOGE","2016-02-19",0.00027759
"DOGE","2016-02-20",0.00029689
"DOGE","2016-02-21",0.00029156
"DOGE","2016-02-22",0.00028726
"DOGE","2016-02-23",0.00028272
"DOGE","2016-02-24",0.00027941
"DOGE","2016-02-25",0.00027665
"DOGE","2016-02-26",0.00026949
"DOGE","2016-02-27",0.00025937
