"symbol","date","volume"
"DOGE","2016-07-13",228096
"DOGE","2016-07-14",161058
"DOGE","2016-07-15",120831
"DOGE","2016-07-16",824763984375
"DOGE","2016-07-17",125107
"DOGE","2016-07-18",232515
"DOGE","2016-07-19",257203
"DOGE","2016-07-20",174826
"DOGE","2016-07-21",252756
"DOGE","2016-07-22",216280
"DOGE","2016-07-23",328851
"DOGE","2016-07-24",273570
"DOGE","2016-07-25",108561
"DOGE","2016-07-26",206520
"DOGE","2016-07-27",153832
"DOGE","2016-07-28",84121703125
"DOGE","2016-07-29",981468984375
"DOGE","2016-07-30",589866015625
"DOGE","2016-07-31",89186796875
"DOGE","2016-08-01",130186
"DOGE","2016-08-02",225484
"DOGE","2016-08-03",191331
"DOGE","2016-08-04",143676
"DOGE","2016-08-05",123728
"DOGE","2016-08-06",278089
"DOGE","2016-08-07",1567680
"DOGE","2016-08-08",600323
"DOGE","2016-08-09",302290
"DOGE","2016-08-10",263827
"DOGE","2016-08-11",190175
"DOGE","2016-08-12",136558
"DOGE","2016-08-13",987686015625
"DOGE","2016-08-14",405881
"DOGE","2016-08-15",355769
"DOGE","2016-08-16",707776
"DOGE","2016-08-17",312708
"DOGE","2016-08-18",170275
"DOGE","2016-08-19",311444
"DOGE","2016-08-20",167039
"DOGE","2016-08-21",121065
"DOGE","2016-08-22",375078
"DOGE","2016-08-23",331014
"DOGE","2016-08-24",225706
"DOGE","2016-08-25",151207
"DOGE","2016-08-26",139823
"DOGE","2016-08-27",932303984375
"DOGE","2016-08-28",240313
"DOGE","2016-08-29",217469
"DOGE","2016-08-30",242014
"DOGE","2016-08-31",181570
"DOGE","2016-09-01",203953
"DOGE","2016-09-02",164747
"DOGE","2016-09-03",270431
"DOGE","2016-09-04",290452
"DOGE","2016-09-05",254656
"DOGE","2016-09-06",199043
"DOGE","2016-09-07",213195
"DOGE","2016-09-08",139759
"DOGE","2016-09-09",102465
"DOGE","2016-09-10",983966015625
"DOGE","2016-09-11",96144
"DOGE","2016-09-12",128679
"DOGE","2016-09-13",65946703125
"DOGE","2016-09-14",141810
"DOGE","2016-09-15",305283
"DOGE","2016-09-16",775759
"DOGE","2016-09-17",375370
"DOGE","2016-09-18",159346
"DOGE","2016-09-19",178186
"DOGE","2016-09-20",131253
"DOGE","2016-09-21",314763
"DOGE","2016-09-22",109829
"DOGE","2016-09-23",230223
"DOGE","2016-09-24",952306015625
"DOGE","2016-09-25",93891203125
"DOGE","2016-09-26",164711
"DOGE","2016-09-27",140515
"DOGE","2016-09-28",154501
"DOGE","2016-09-29",175265
"DOGE","2016-09-30",147126
"DOGE","2016-10-01",149333
"DOGE","2016-10-02",637681015625
"DOGE","2016-10-03",143210
"DOGE","2016-10-04",121528
"DOGE","2016-10-05",5900580078125
"DOGE","2016-10-06",316034
"DOGE","2016-10-07",100431
"DOGE","2016-10-08",91295
"DOGE","2016-10-09",72974
"DOGE","2016-10-10",743041015625
"DOGE","2016-10-11",255195
"DOGE","2016-10-12",136557
"DOGE","2016-10-13",74930296875
"DOGE","2016-10-14",94112
"DOGE","2016-10-15",543186015625
"DOGE","2016-10-16",732121015625
"DOGE","2016-10-17",943796015625
"DOGE","2016-10-18",63436
"DOGE","2016-10-19",102827
"DOGE","2016-10-20",725483984375
"DOGE","2016-10-21",5062430078125
"DOGE","2016-10-22",104100
"DOGE","2016-10-23",64536
"DOGE","2016-10-24",790793984375
"DOGE","2016-10-25",93590703125
"DOGE","2016-10-26",143192
"DOGE","2016-10-27",122038
"DOGE","2016-10-28",957983984375
"DOGE","2016-10-29",563580
"DOGE","2016-10-30",112318
"DOGE","2016-10-31",147892
"DOGE","2016-11-01",169851
"DOGE","2016-11-02",71283796875
"DOGE","2016-11-03",157604
"DOGE","2016-11-04",745841015625
"DOGE","2016-11-05",5184919921875
"DOGE","2016-11-06",673051015625
"DOGE","2016-11-07",922936
"DOGE","2016-11-08",186033
"DOGE","2016-11-09",117069
"DOGE","2016-11-10",113130
"DOGE","2016-11-11",111646
"DOGE","2016-11-12",198530
"DOGE","2016-11-13",145317
"DOGE","2016-11-14",549948984375
"DOGE","2016-11-15",106308
"DOGE","2016-11-16",133220
"DOGE","2016-11-17",106863
"DOGE","2016-11-18",142607
"DOGE","2016-11-19",5645580078125
"DOGE","2016-11-20",840471015625
"DOGE","2016-11-21",751653984375
"DOGE","2016-11-22",78701
"DOGE","2016-11-23",71915
"DOGE","2016-11-24",106697
"DOGE","2016-11-25",5505230078125
"DOGE","2016-11-26",514496015625
"DOGE","2016-11-27",6476030078125
"DOGE","2016-11-28",77058203125
"DOGE","2016-11-29",75058703125
"DOGE","2016-11-30",50524
"DOGE","2016-12-01",121422
"DOGE","2016-12-02",94692
"DOGE","2016-12-03",79711796875
"DOGE","2016-12-04",55311
"DOGE","2016-12-05",125542
"DOGE","2016-12-06",567708984375
"DOGE","2016-12-07",78009296875
"DOGE","2016-12-08",73483296875
"DOGE","2016-12-09",70556
"DOGE","2016-12-10",113819
"DOGE","2016-12-11",164021
"DOGE","2016-12-12",111702
"DOGE","2016-12-13",825313984375
"DOGE","2016-12-14",600836015625
"DOGE","2016-12-15",100360
"DOGE","2016-12-16",920831015625
"DOGE","2016-12-17",155943
"DOGE","2016-12-18",734068984375
"DOGE","2016-12-19",225757
"DOGE","2016-12-20",186803
"DOGE","2016-12-21",205205
"DOGE","2016-12-22",260272
"DOGE","2016-12-23",378406
"DOGE","2016-12-24",422843
"DOGE","2016-12-25",241911
"DOGE","2016-12-26",141805
"DOGE","2016-12-27",251069
"DOGE","2016-12-28",295278
"DOGE","2016-12-29",214764
"DOGE","2016-12-30",176730
"DOGE","2016-12-31",73496
"DOGE","2017-01-01",136829
"DOGE","2017-01-02",195520
"DOGE","2017-01-03",132352
"DOGE","2017-01-04",442095
"DOGE","2017-01-05",994730
"DOGE","2017-01-06",305084
"DOGE","2017-01-07",315096
"DOGE","2017-01-08",132159
"DOGE","2017-01-09",160173
"DOGE","2017-01-10",204249
"DOGE","2017-01-11",458200
"DOGE","2017-01-12",263155
"DOGE","2017-01-13",108930
"DOGE","2017-01-14",71387796875
"DOGE","2017-01-15",77839203125
"DOGE","2017-01-16",103512
"DOGE","2017-01-17",161002
"DOGE","2017-01-18",98052296875
"DOGE","2017-01-19",64430
"DOGE","2017-01-20",72039796875
"DOGE","2017-01-21",131115
"DOGE","2017-01-22",729226015625
"DOGE","2017-01-23",608726015625
"DOGE","2017-01-24",5954469921875
"DOGE","2017-01-25",716361015625
"DOGE","2017-01-26",93096203125
"DOGE","2017-01-27",114996
"DOGE","2017-01-28",54080
"DOGE","2017-01-29",88538203125
"DOGE","2017-01-30",606158984375
"DOGE","2017-01-31",122078
"DOGE","2017-02-01",83192
"DOGE","2017-02-02",767336015625
"DOGE","2017-02-03",112018
"DOGE","2017-02-04",113546
"DOGE","2017-02-05",99077796875
"DOGE","2017-02-06",90883796875
"DOGE","2017-02-07",110704
"DOGE","2017-02-08",162662
"DOGE","2017-02-09",200542
"DOGE","2017-02-10",946766015625
"DOGE","2017-02-11",94779203125
"DOGE","2017-02-12",966178984375
"DOGE","2017-02-13",128635
"DOGE","2017-02-14",129514
"DOGE","2017-02-15",154245
"DOGE","2017-02-16",135279
"DOGE","2017-02-17",153199
"DOGE","2017-02-18",158688
"DOGE","2017-02-19",74856203125
"DOGE","2017-02-20",891406015625
"DOGE","2017-02-21",102673
"DOGE","2017-02-22",108610
"DOGE","2017-02-23",110405
"DOGE","2017-02-24",118202
"DOGE","2017-02-25",6448519921875
"DOGE","2017-02-26",550073984375
"DOGE","2017-02-27",115816
"DOGE","2017-02-28",90931796875
"DOGE","2017-03-01",136870
"DOGE","2017-03-02",203994
"DOGE","2017-03-03",146345
"DOGE","2017-03-04",94177
"DOGE","2017-03-05",69489796875
"DOGE","2017-03-06",111585
"DOGE","2017-03-07",169049
"DOGE","2017-03-08",242738
"DOGE","2017-03-09",110162
"DOGE","2017-03-10",327829
"DOGE","2017-03-11",142059
"DOGE","2017-03-12",320578
"DOGE","2017-03-13",998448
"DOGE","2017-03-14",350586
"DOGE","2017-03-15",395931
"DOGE","2017-03-16",448480
"DOGE","2017-03-17",393182
"DOGE","2017-03-18",474001
"DOGE","2017-03-19",335532
"DOGE","2017-03-20",339899
"DOGE","2017-03-21",243988
"DOGE","2017-03-22",344528
"DOGE","2017-03-23",195765
"DOGE","2017-03-24",1776640
"DOGE","2017-03-25",1274960
"DOGE","2017-03-26",1203110
"DOGE","2017-03-27",1082440
"DOGE","2017-03-28",708276
"DOGE","2017-03-29",399763
"DOGE","2017-03-30",1673200
"DOGE","2017-03-31",2525700
"DOGE","2017-04-01",1030280
"DOGE","2017-04-02",4276890
"DOGE","2017-04-03",8704480
"DOGE","2017-04-04",3070990
"DOGE","2017-04-05",1696750
"DOGE","2017-04-06",2738610
"DOGE","2017-04-07",2669470
"DOGE","2017-04-08",1249660
"DOGE","2017-04-09",1720980
"DOGE","2017-04-10",1181340
"DOGE","2017-04-11",694146
"DOGE","2017-04-12",940905
"DOGE","2017-04-13",1421850
"DOGE","2017-04-14",1462360
"DOGE","2017-04-15",892718
"DOGE","2017-04-16",1835340
"DOGE","2017-04-17",1791470
"DOGE","2017-04-18",1308510
"DOGE","2017-04-19",940790
"DOGE","2017-04-20",1828250
"DOGE","2017-04-21",692528
"DOGE","2017-04-22",853796
"DOGE","2017-04-23",3778280
"DOGE","2017-04-24",1427570
