"symbol","date","close"
"DOGE","2016-01-01",0.00015439
"DOGE","2016-01-02",0.00015074
"DOGE","2016-01-03",0.00014576
"DOGE","2016-01-04",0.00014364
"DOGE","2016-01-05",0.00013711
"DOGE","2016-01-06",0.00013454
"DOGE","2016-01-07",0.00013926
"DOGE","2016-01-08",0.00015829
"DOGE","2016-01-09",0.00017981
"DOGE","2016-01-10",0.00016679
"DOGE","2016-01-11",0.00017069
"DOGE","2016-01-12",0.00017977
"DOGE","2016-01-13",0.00017709
"DOGE","2016-01-14",0.00017484
"DOGE","2016-01-15",0.00014914
"DOGE","2016-01-16",0.00015503
"DOGE","2016-01-17",0.00015215
"DOGE","2016-01-18",0.00015117
"DOGE","2016-01-19",0.00014810
"DOGE","2016-01-20",0.00016804
"DOGE","2016-01-21",0.00016325
"DOGE","2016-01-22",0.00016825
"DOGE","2016-01-23",0.00017233
"DOGE","2016-01-24",0.00019319
"DOGE","2016-01-25",0.00021172
"DOGE","2016-01-26",0.00035627
"DOGE","2016-01-27",0.00045508
"DOGE","2016-01-28",0.00034414
"DOGE","2016-01-29",0.00031640
"DOGE","2016-01-30",0.00025799
"DOGE","2016-01-31",0.00027703
"DOGE","2016-02-01",0.00027023
"DOGE","2016-02-02",0.00026229
"DOGE","2016-02-03",0.00026509
"DOGE","2016-02-04",0.00028701
"DOGE","2016-02-05",0.00030550
"DOGE","2016-02-06",0.00030613
"DOGE","2016-02-07",0.00028506
"DOGE","2016-02-08",0.00028690
"DOGE","2016-02-09",0.00029188
"DOGE","2016-02-10",0.00029808
"DOGE","2016-02-11",0.00028979
"DOGE","2016-02-12",0.00030069
"DOGE","2016-02-13",0.00029500
"DOGE","2016-02-14",0.00030100
"DOGE","2016-02-15",0.00029813
"DOGE","2016-02-16",0.00029161
"DOGE","2016-02-17",0.00027848
"DOGE","2016-02-18",0.00027782
"DOGE","2016-02-19",0.00029683
"DOGE","2016-02-20",0.00029106
"DOGE","2016-02-21",0.00028550
"DOGE","2016-02-22",0.00028267
"DOGE","2016-02-23",0.00027981
"DOGE","2016-02-24",0.00027756
"DOGE","2016-02-25",0.00026938
"DOGE","2016-02-26",0.00025928
"DOGE","2016-02-27",0.00025493
